date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:08	60102/60102	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-train-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-train-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:09	56970/56970	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/trip.html	D:/duan123/envato.megadrupal.com/html/gofar/trip.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:09	64394/64394	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/trip-detail.html	D:/duan123/envato.megadrupal.com/html/gofar/trip-detail.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:10	56965/56965	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/trip-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/trip-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:10	62688/62688	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/trip-detail-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/trip-detail-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:10	54896/54896	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/hotel.html	D:/duan123/envato.megadrupal.com/html/gofar/hotel.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:11	86215/86215	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/hotel-detail.html	D:/duan123/envato.megadrupal.com/html/gofar/hotel-detail.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:11	54957/54957	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/hotel-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/hotel-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:12	86210/86210	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/hotel-detail-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/hotel-detail-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:13	61047/61047	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/flight.html	D:/duan123/envato.megadrupal.com/html/gofar/flight.html	(from https://envato.megadrupal.com/html/gofar/)
